model_name,cpu_cores,gpu_mode,gpu_name,mem_cap_gb,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_w,peak_power_w,energy_j,status,error
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,3584,1024,2,2,0.12817897530003391,7.801591467393603,2.7920888888888538,10.678199999999947,0.3567550945685434,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,3584,1024,3,2,0.12647942430012335,7.906424349521844,2.3604222222222027,10.45029999999997,0.29222475649909285,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,3584,1024,4,2,0.1472723015000156,6.790143087428385,1.6103354838709687,8.618650000000002,0.23016499525925765,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,4096,1024,0,2,0.1278139101999841,7.823874556653103,3.3964629629629464,11.606499999999983,0.4334515895456613,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,4096,1024,1,2,0.1581484743001056,6.323171971310837,1.911303030303009,7.404999999999944,0.29719531653396075,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,4096,1024,2,2,0.12476865330008877,8.014833642508254,2.530044444444442,11.516949999999994,0.31368388078679005,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,4096,1024,3,2,0.15251972670012037,6.556528926688739,2.1428875000000116,7.68640000000002,0.3270446614762119,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,4096,1024,4,2,0.1260673393000616,7.932268623674455,3.0297814814814843,12.219300000000004,0.38292231735751225,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,4608,1024,0,2,0.1471159519000139,6.797359409941088,2.9065709677419127,8.91734999999997,0.43053314796425807,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,4608,1024,1,2,0.12774594389993582,7.828037192189101,2.9239111111111367,11.73320000000004,0.36574468691751233,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,4608,1024,2,2,0.12486297349987581,8.008779320003898,2.6467074074074257,12.414300000000026,0.3318500784825737,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,4608,1024,3,2,0.14198243150003692,7.043124909434587,2.3952133333333308,12.666799999999995,0.329598935368768,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,4608,1024,4,2,0.1274073534999843,7.84884053022986,2.9043333333333217,11.352499999999978,0.3649108090322636,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,5120,1024,0,2,0.1425502082998719,7.015072176509045,2.875096666666655,13.142049999999983,0.39942168778164494,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,5120,1024,1,2,0.12910082590005914,7.745883831712512,2.987414285714265,12.096199999999968,0.3907089439972261,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,5120,1024,2,2,0.14270060039998497,7.007678995021981,2.57146666666666,11.255199999999988,0.36471971915061613,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,5120,1024,3,2,0.12909874380002292,7.746008757056724,3.662139285714265,14.304699999999968,0.48352340288398876,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,5120,1024,4,2,0.14147118429991679,7.068577286240957,2.887906666666702,14.869400000000056,0.39791823925722125,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,5632,1024,0,2,0.14389810270004091,6.9493619529127795,4.45631612903228,12.218900000000033,0.6675743759358124,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,5632,1024,1,2,0.12779031270001723,7.825319297460841,3.526051851851838,13.484199999999973,0.4457855320083966,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,5632,1024,2,2,0.15282050779987913,6.543624376052433,2.7629375000000014,10.005499999999998,0.41949736769183604,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,5632,1024,3,2,0.13112699989997054,7.626194458523753,2.9266428571428844,12.619000000000042,0.3795718514902918,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,5632,1024,4,2,0.1561882488000265,6.40253032915643,2.679930303030325,9.47135000000003,0.42409761798159906,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,6144,1024,0,2,0.13102542190008534,7.632106697298478,5.074750000000038,16.31620000000005,0.6730361600804655,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,6144,1024,1,2,0.1551100132999636,6.447037033425582,3.529863636363615,13.80274999999996,0.5501302011939149,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,6144,1024,2,2,0.14664762230004272,6.819067260115466,3.6728193548387065,14.700299999999999,0.5477491631926721,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,6144,1024,3,2,0.13373072409995074,7.477713193660696,5.573503448275895,16.669600000000045,0.7720125148787911,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,6144,1024,4,2,0.14819719649985927,6.747765974108354,4.488719354838697,12.661299999999983,0.6819420546202564,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,6656,1024,0,2,0.1470467765999274,6.800557095656143,5.6356129032257885,15.869999999999976,0.8483905202989221,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,6656,1024,1,2,0.13337670389992126,7.497561198920813,5.6585827586207085,17.410900000000026,0.7785015563412787,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,6656,1024,2,2,0.13330904150006972,7.501366664611995,4.797562068965521,15.726700000000008,0.6591111058353216,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,6656,1024,3,2,0.14712505159986905,6.796938992549451,3.1393000000000244,13.245350000000045,0.45538889937538707,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,6656,1024,4,2,0.14547935009995855,6.873827792830406,3.595116129032278,12.592300000000023,0.5335841238799846,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,7168,1024,0,2,0.13360375909996947,7.48481933993898,5.608303448275853,17.475799999999992,0.7735452668780606,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,7168,1024,1,2,0.14516662510013703,6.888635726773923,4.867396774193534,14.959099999999978,0.7207528587109284,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,7168,1024,2,2,0.14807547330001397,6.753312872915232,4.930999999999968,16.065599999999947,0.7340950376472027,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,7168,1024,3,2,0.13336956830007693,7.497962336880588,5.646979310344807,18.05219999999997,0.7811915244458176,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,7168,1024,4,2,0.14688536609992298,6.8080301431779215,4.140019354838679,14.31129999999996,0.6128001430788707,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,7680,1024,0,2,0.14593783920008718,6.852232467475115,6.617125806451593,18.870299999999972,0.9940973467127122,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,7680,1024,1,2,0.1305926155000634,7.657400812219084,5.757214285714302,18.64060000000002,0.7651246316065824,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,7680,1024,2,2,0.15543625020000035,6.43350568939547,3.7459303030302804,12.545699999999968,0.5914782650544887,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,7680,1024,3,2,0.15723772439996536,6.359796949593989,6.007651515151546,15.474300000000042,0.9656444430111959,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,7680,1024,4,2,0.13707460900004662,7.295297118080125,5.457275862068963,18.299750000000003,0.7526417764795421,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,8192,1024,0,2,0.1556128311000066,6.426205300238623,3.5463060606060464,17.022299999999973,0.5470543312146592,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,8192,1024,1,2,0.1580938334000166,6.3253574063812605,4.3127166666666765,13.361550000000008,0.6860576396271868,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,8192,1024,2,2,0.15210285530010878,6.5744985393399435,4.783667187500043,13.840350000000072,0.7355923495872715,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,8192,1024,3,2,0.15371425569992425,6.505577478462154,5.255242424242414,16.466999999999985,0.83953042375324,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,8192,1024,4,2,0.13255043299996033,7.5442982521249045,6.0537142857143005,18.439500000000024,0.8072887825213033,ok,
amazon/chronos-2,6,GPU_on,NVIDIA GeForce RTX 3080,12,1,512,1024,0,2,0.12262444170009985,8.154981063609489,1.1015038461538542,4.625950000000017,0.13246213789397415,ok,
amazon/chronos-2,6,GPU_on,NVIDIA GeForce RTX 3080,12,1,512,1024,1,2,0.12362500629988063,8.088978354219632,1.0575074074074327,4.720100000000045,0.1326102865694438,ok,
amazon/chronos-2,6,GPU_on,NVIDIA GeForce RTX 3080,12,1,512,1024,2,2,0.13123607340003218,7.619856142387103,1.0915000000000248,4.046600000000041,0.14382187565564566,ok,
amazon/chronos-2,6,GPU_on,NVIDIA GeForce RTX 3080,12,1,512,1024,3,2,0.11855295789991942,8.435048924246873,0.7632230769231005,4.300700000000049,0.08872346847715672,ok,
amazon/chronos-2,6,GPU_on,NVIDIA GeForce RTX 3080,12,1,512,1024,4,2,0.11646987389995048,8.585911244816975,0.8168640000000255,1.9821000000000453,0.09702039560211248,ok,
amazon/chronos-2,6,GPU_on,NVIDIA GeForce RTX 3080,12,1,1024,1024,0,2,0.1201467701999718,8.32315340924774,1.6062846153846182,6.313299999999998,0.19380243639199962,ok,
amazon/chronos-2,6,GPU_on,NVIDIA GeForce RTX 3080,12,1,1024,1024,1,2,0.11613912639986665,8.610362683089273,1.0776200000000227,5.607300000000038,0.12113792242804693,ok,
amazon/chronos-2,6,GPU_on,NVIDIA GeForce RTX 3080,12,1,1024,1024,2,2,0.14046754890005103,7.119082007414716,1.0066666666666957,3.630300000000048,0.14261802189323108,ok,
