report_schema_version,case_id,split,hardware_model,cpu_cores,mem_cap_gb,gpu_mode,input_scale,repeat_count,latency_s,latency_mean_s,latency_std_s,predicted_latency_s,residual_s,fitted_predicted_latency_s,fitted_residual_s,resource_config_oof_predicted_latency_s,resource_config_oof_residual_s,max_scale_holdout_predicted_latency_s,max_scale_holdout_residual_s
2,66,out_of_fold_test,cpu,4,16,off,85.000000,5,0.127467000,0.127227000,0.001465170,0.130039038,-0.002572038,0.129688238,-0.002221238,0.130039038,-0.002572038,,
2,67,out_of_fold_test,cpu,4,16,off,170.000000,5,0.187818000,0.187974200,0.002271992,0.191290883,-0.003472883,0.190905683,-0.003087683,0.191290883,-0.003472883,,
2,68,out_of_fold_test,cpu,4,16,off,255.000000,5,0.252773000,0.253689800,0.004341369,0.257215031,-0.004442031,0.256786014,-0.004013014,0.257215031,-0.004442031,,
2,69,out_of_fold_test,cpu,4,16,off,340.000000,5,0.331060000,0.328939600,0.005255615,0.327504209,0.003555791,0.327030321,0.004029679,0.327504209,0.003555791,,
2,70,out_of_fold_test,cpu,4,16,off,425.000000,5,0.403116000,0.402365800,0.001744689,0.402176984,0.000939016,0.401658375,0.001457625,0.402176984,0.000939016,,
2,71,out_of_fold_test,cpu,4,16,off,510.000000,5,0.475356000,0.473173800,0.003879872,0.481248300,-0.005892300,0.480685294,-0.005329294,0.481248300,-0.005892300,0.492221118,-0.016865118
2,72,out_of_fold_test,cpu,8,2,off,85.000000,5,0.058910000,0.058945800,0.000306130,0.057957819,0.000952181,0.058186975,0.000723025,0.057957819,0.000952181,,
2,73,out_of_fold_test,cpu,8,2,off,170.000000,5,0.087242000,0.087240400,0.000221593,0.086110996,0.001131004,0.086387435,0.000854565,0.086110996,0.001131004,,
2,74,out_of_fold_test,cpu,8,2,off,255.000000,5,0.117476000,0.117518600,0.000220340,0.116475905,0.001000095,0.116780752,0.000695248,0.116475905,0.001000095,,
2,75,out_of_fold_test,cpu,8,2,off,340.000000,5,0.149476000,0.149509400,0.000349442,0.148937475,0.000538525,0.149254100,0.000221900,0.148937475,0.000538525,,
2,76,out_of_fold_test,cpu,8,2,off,425.000000,5,0.187008000,0.187183000,0.000573494,0.183505339,0.003502661,0.183818117,0.003189883,0.183505339,0.003502661,,
2,77,out_of_fold_test,cpu,8,2,off,510.000000,5,0.218322000,0.218549600,0.000502593,0.220185286,-0.001863286,0.220479018,-0.002157018,0.220185286,-0.001863286,0.226025761,-0.007703761
2,78,out_of_fold_test,cpu,8,4,off,85.000000,5,0.059069000,0.059073600,0.000195013,0.058093809,0.000975191,0.058259918,0.000809082,0.058093809,0.000975191,,
2,79,out_of_fold_test,cpu,8,4,off,170.000000,5,0.087246000,0.087411600,0.000279644,0.086311668,0.000934332,0.086495730,0.000750270,0.086311668,0.000934332,,
2,80,out_of_fold_test,cpu,8,4,off,255.000000,5,0.117285000,0.117386200,0.000207972,0.116722994,0.000562006,0.116927148,0.000357852,0.116722994,0.000562006,,
2,81,out_of_fold_test,cpu,8,4,off,340.000000,5,0.150399000,0.150398400,0.000276493,0.149218034,0.001180966,0.149441205,0.000957795,0.149218034,0.001180966,,
2,82,out_of_fold_test,cpu,8,4,off,425.000000,5,0.187205000,0.187417400,0.000570736,0.183807827,0.003397173,0.184048551,0.003156449,0.183807827,0.003397173,,
2,83,out_of_fold_test,cpu,8,4,off,510.000000,5,0.220202000,0.219853800,0.000843001,0.220498614,-0.000296614,0.220755410,-0.000553410,0.220498614,-0.000296614,0.226228533,-0.006026533
2,84,out_of_fold_test,cpu,8,8,off,85.000000,5,0.059062000,0.059029200,0.000131665,0.058190374,0.000871626,0.058332953,0.000729047,0.058190374,0.000871626,,
2,85,out_of_fold_test,cpu,8,8,off,170.000000,5,0.086933000,0.087027200,0.000146475,0.086452797,0.000480203,0.086604161,0.000328839,0.086452797,0.000480203,,
2,86,out_of_fold_test,cpu,8,8,off,255.000000,5,0.117314000,0.117525200,0.000504207,0.116923827,0.000390173,0.117073728,0.000240272,0.116923827,0.000390173,,
2,87,out_of_fold_test,cpu,8,8,off,340.000000,5,0.151042000,0.150849800,0.000619702,0.149490600,0.001551400,0.149628544,0.001413456,0.149490600,0.001551400,,
2,88,out_of_fold_test,cpu,8,8,off,425.000000,5,0.186934000,0.187059000,0.000461325,0.184163461,0.002770539,0.184279274,0.002654726,0.184163461,0.002770539,,
2,89,out_of_fold_test,cpu,8,8,off,510.000000,5,0.218862000,0.219217400,0.000539479,0.220948442,-0.002086442,0.221032149,-0.002170149,0.220948442,-0.002086442,0.226431487,-0.007569487
2,90,out_of_fold_test,cpu,8,16,off,85.000000,5,0.058776000,0.058828800,0.000134208,0.058284439,0.000491561,0.058406079,0.000369921,0.058284439,0.000491561,,
2,91,out_of_fold_test,cpu,8,16,off,170.000000,5,0.087071000,0.087077000,0.000170697,0.086536961,0.000534039,0.086712727,0.000358273,0.086536961,0.000534039,,
2,92,out_of_fold_test,cpu,8,16,off,255.000000,5,0.117156000,0.117419200,0.000537086,0.116993896,0.000162104,0.117220491,-0.000064491,0.116993896,0.000162104,,
2,93,out_of_fold_test,cpu,8,16,off,340.000000,5,0.150936000,0.150963000,0.000422833,0.149540614,0.001395386,0.149816118,0.001119882,0.149540614,0.001395386,,
